step,agent_idx,junction_id,reward,episode_reward
43,0,J0,0.019584999999999998,36.06315151497391
43,1,J1,-1.5e-05,36.06315151497391
43,2,J5,0.299985,36.06315151497391
43,3,J6,0.027985,36.06315151497391
43,4,J7,0.299985,36.06315151497391
43,5,J10,-1.5e-05,36.06315151497391
43,6,J11,-1.5e-05,36.06315151497391
43,7,J12,0.299985,36.06315151497391
43,8,J22,-1.5e-05,36.06315151497391
44,0,J0,-1.5e-05,37.56301651497391
44,1,J1,-1.5e-05,37.56301651497391
44,2,J5,0.299985,37.56301651497391
44,3,J6,0.299985,37.56301651497391
44,4,J7,-1.5e-05,37.56301651497391
44,5,J10,0.299985,37.56301651497391
44,6,J11,0.299985,37.56301651497391
44,7,J12,0.299985,37.56301651497391
44,8,J22,-1.5e-05,37.56301651497391
45,0,J0,0.299985,38.88788151497391
45,1,J1,-1.5e-05,38.88788151497391
45,2,J5,-1.5e-05,38.88788151497391
45,3,J6,0.299985,38.88788151497391
45,4,J7,-1.5e-05,38.88788151497391
45,5,J10,0.224985,38.88788151497391
45,6,J11,-1.5e-05,38.88788151497391
45,7,J12,0.299985,38.88788151497391
45,8,J22,0.199985,38.88788151497391
46,0,J0,-1.5e-05,39.487746514973914
46,1,J1,-1.5e-05,39.487746514973914
46,2,J5,0.299985,39.487746514973914
46,3,J6,-1.5e-05,39.487746514973914
46,4,J7,-1.5e-05,39.487746514973914
46,5,J10,-1.5e-05,39.487746514973914
46,6,J11,-1.5e-05,39.487746514973914
46,7,J12,-1.5e-05,39.487746514973914
46,8,J22,0.299985,39.487746514973914
47,0,J0,0.029984999999999998,40.267611514973915
47,1,J1,0.149985,40.267611514973915
47,2,J5,0.299985,40.267611514973915
47,3,J6,0.299985,40.267611514973915
47,4,J7,-1.5e-05,40.267611514973915
47,5,J10,-1.5e-05,40.267611514973915
47,6,J11,-1.5e-05,40.267611514973915
47,7,J12,-1.5e-05,40.267611514973915
47,8,J22,-1.5e-05,40.267611514973915
48,0,J0,0.029984999999999998,41.047476514973916
48,1,J1,-1.5e-05,41.047476514973916
48,2,J5,-1.5e-05,41.047476514973916
48,3,J6,0.299985,41.047476514973916
48,4,J7,-1.5e-05,41.047476514973916
48,5,J10,0.224985,41.047476514973916
48,6,J11,0.224985,41.047476514973916
48,7,J12,-1.5e-05,41.047476514973916
48,8,J22,-1.5e-05,41.047476514973916
49,0,J0,0.179985,42.477341514973915
49,1,J1,-1.5e-05,42.477341514973915
49,2,J5,0.299985,42.477341514973915
49,3,J6,0.199985,42.477341514973915
49,4,J7,-1.5e-05,42.477341514973915
49,5,J10,-1.5e-05,42.477341514973915
49,6,J11,0.149985,42.477341514973915
49,7,J12,0.299985,42.477341514973915
49,8,J22,0.299985,42.477341514973915
50,0,J0,0.179985,43.35720651497392
50,1,J1,-1.5e-05,43.35720651497392
50,2,J5,-1.5e-05,43.35720651497392
50,3,J6,0.199985,43.35720651497392
50,4,J7,0.199985,43.35720651497392
50,5,J10,-1.5e-05,43.35720651497392
50,6,J11,-1.5e-05,43.35720651497392
50,7,J12,-1.5e-05,43.35720651497392
50,8,J22,0.299985,43.35720651497392
51,0,J0,0.029984999999999998,44.587071514973914
51,1,J1,-1.5e-05,44.587071514973914
51,2,J5,0.299985,44.587071514973914
51,3,J6,0.299985,44.587071514973914
51,4,J7,-1.5e-05,44.587071514973914
51,5,J10,0.299985,44.587071514973914
51,6,J11,-1.5e-05,44.587071514973914
51,7,J12,-1.5e-05,44.587071514973914
51,8,J22,0.299985,44.587071514973914
52,0,J0,0.029984999999999998,45.141936514973914
52,1,J1,-1.5e-05,45.141936514973914
52,2,J5,-1.5e-05,45.141936514973914
52,3,J6,0.299985,45.141936514973914
52,4,J7,-1.5e-05,45.141936514973914
52,5,J10,-1.5e-05,45.141936514973914
52,6,J11,0.224985,45.141936514973914
52,7,J12,-1.5e-05,45.141936514973914
52,8,J22,-1.5e-05,45.141936514973914
53,0,J0,0.029984999999999998,45.47180151497391
53,1,J1,-1.5e-05,45.47180151497391
53,2,J5,-1.5e-05,45.47180151497391
53,3,J6,0.299985,45.47180151497391
53,4,J7,-1.5e-05,45.47180151497391
53,5,J10,-1.5e-05,45.47180151497391
